Title,Unused0,Unused1,Unused2,Attack,ShoreAttack,Defense,Logistics,Rosters,Type,Description,Image,FlavorText,Version
Iowa BB,,,,3,6,4,6,USN,Ship,AEGIS: 2 Help Defense.,Images/iowa.jpg,Two Iowa class battleships were recommissioned in the mid-2020s as a stop-gap measure due to Chinese and Russian naval expansion and the failure of the Navy SC-21 next generation ship-building program (Zumwalt).,0.5.0
Gerald R Ford CVN,,,,0,0,2,6,USN,Ship,"CATOBAR: Compatible with aircraft up to compatibility 3.
Early Warning and Control: 1 Help Defense plus 1 additional Help Defense for each stationed aircraft in combat.
Carrier 3: Can station 3 aircraft squadrons.",Images/ford.jpg,"A military airbase at sea, a Ford class carrier is more than three times as long as a football field and has more than twice the displacement of the German battleship Bismarck.",0.5.0
Wasp LHA,,,,0,5,2,2,USN,Ship,"VTOL: Compatible with aircraft up to compatibility 1.
Carrier 1: Can station 1 aircraft squadron.
Fleet Reserve: If this military asset is destroyed while in play, its controller may draw a card.",Images/wasp.jpg,"In addition to supporting VTOL aircraft, a Wasp amphibious assault ship is capable of delivering a Marine Expeditionary Unit complete with its armored vehicles to hostile shores via helicopters and landing craft.",0.5.0
America LHA,,,,0,3,2,2,USN,Ship,"VTOL: Compatible with aircraft up to compatibility 1.
Carrier 2: Can station 2 aircraft squadrons.",Images/america.jpg,"In contrast to the Wasp LHA, the America class was intended to fill a role closer to a light aircraft carrier.",0.5.0
Seawolf SSN,,,,4,0,4,5,USN,Submarine,"Surprise Attacker: This asset deals damage during the Surprise Damage Step.
Special Purposes: Each time this military asset is flipped face up, your opponent must reveal one card from their hand at random.
Hidden: Can be played face down. ",Images/seawolf.jpg,The relatively old but exorbitantly expensive Seawolf submarines are still the apex predators of the US Navy's submarine fleet.,0.5.0
Virginia SSN,,,,3,1,4,4,USN,Submarine,"Surprise Attacker: This asset deals damage during the Surprise Damage Step.
Hidden: Can be played face down. ",Images/virginia.jpg,The advanced but more budget conscious Virginia will be the standard attack submarine of the US Navy until at least the middle of the 21st century.,0.5.0
Ohio SSGN,,,,3,4,2,5,USN,Submarine,"Surprise Attacker: This asset deals damage during the Surprise Damage Step.
Strategic Strike Capability: At the end of your turn, if this asset is face-up and did not take part in a combat, your opponent must discard one card from their deck.
Hidden: Can be played face down. ",Images/ohio.jpg,"Although Ohio was originally intended to carry nuclear ballistic missiles, some Ohio's have been modified as SSGNs for surface warfare and land-attack missions.",0.5.0
Ticonderoga CG,,,,2,3,2,4,USN,Ship,"AEGIS: 2 Help Defense.
Fleet Reserve: If this military asset is destroyed while in play, its controller may draw a card.",Images/ticonderoga.jpg,"Despite early concerns that their tall superstructure would make them unstable in rough seas, the Ticonderogas have since proven themselves dependable ships.",0.5.0
Arleigh Burke Flight IIIA DDG,,,,2,3,2,3,USN,Ship,AEGIS: 2 Help Defense.,Images/arleighburke.jpg,The multi-mission-capable Arleigh Burke is the  workhorse of and most numerous ship in  the US Navy.,0.5.0
Zumwalt DDG,,,,4,2,5,5,USN,Ship,"Surprise Attacker: This asset deals damage during the Surprise Damage Step.
Hidden: Can be played face down. ",Images/zumwalt.jpg,"With a cost of $1M per shot from its main howitzer, it is important for the crew of a Zumwalt to aim carefully.",0.5.0
F/A-18E Superhornet,,,,3,4,4,3,USN,Squadron,"CATOBAR: Compatibility 3
Hidden: Can be played face down. 
Fleet Reserve: If this military asset is destroyed while in play, its controller may draw a card.",Images/f18_2.jpg,The F/A-18 is one of the longest-tenured and most battle-proven multi-role carrier aircraft in the world.,0.5.0
F-35B/C Lightning II,,,,4,3,3,4,USN,Squadron,"VTOL: Compatibility 1
Hidden: Can be played face down. 
Surprise Attacker: This asset deals damage during the Surprise Damage Step.",Images/f35b.jpg,The F-35B is a special variant of the F-35 capable of taking off and landing vertically. This allows it to be stationed on smaller carriers that have typically not been able to field cutting-edge aircraft.,0.5.0
